best_f1,best_acc,best_loss,best_epoch,best_path
0.6108,0.6176,0.5717978477478027,11,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_0.pt
0.5769,0.8214,0.6028504371643066,7,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_1.pt
0.6205,0.7043,0.45647141337394714,12,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_2.pt
0.7652,0.7904,0.6238796710968018,4,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_3.pt
0.7166,0.7316,0.479457825422287,11,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_4.pt
0.7396,0.7403,0.5748993158340454,11,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_5.pt
0.4978,0.5107,0.5227048993110657,8,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_6.pt
0.7721,0.7855,0.6207315325737,2,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_7.pt
0.6422,0.6668,0.27972298860549927,25,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_8.pt
0.6957,0.7037,0.6342082023620605,2,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_9.pt
0.69,0.7097,0.20639151334762573,32,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_10.pt
0.4492,0.5462,0.529829740524292,8,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_11.pt
0.6673,0.6678,0.22170454263687134,29,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_12.pt
0.7212,0.7294,0.478304922580719,25,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_13.pt
1.0,1.0,0.5842065811157227,7,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_14.pt
0.7926,0.7956,0.17298728227615356,47,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_15.pt
0.8845,0.8845,0.3545481562614441,26,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_16.pt
0.6409,0.6438,0.5051717758178711,17,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_17.pt
0.4407,0.4937,0.3635476231575012,31,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_18.pt
0.727,0.736,0.32739827036857605,26,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_19.pt
0.9446,0.9467,0.32535916566848755,21,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_20.pt
0.7699,0.7745,0.07939356565475464,48,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_21.pt
0.5744,0.8041,0.3491835594177246,20,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_22.pt
0.5168,0.8327,0.24232009053230286,24,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_23.pt
0.866,0.8829,0.1776430904865265,31,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/SWELLDataset/finetuned_best_24.pt
0.6534,0.669,0.5409530401229858,2,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/SWELLDataset/finetuned_best_0.pt
0.6999,0.8176,0.23351207375526428,14,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/SWELLDataset/finetuned_best_1.pt
0.6511,0.6511,0.5375860333442688,2,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/SWELLDataset/finetuned_best_2.pt
0.6824,0.6956,0.6474195718765259,0,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/SWELLDataset/finetuned_best_3.pt
0.6482,0.6864,0.5779063701629639,1,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/SWELLDataset/finetuned_best_4.pt
0.9649,0.9656,0.176230788230896,18,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/SWELLDataset/finetuned_best_5.pt
0.5002,0.6344,0.4286133646965027,5,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/SWELLDataset/finetuned_best_6.pt
0.6947,0.7161,0.12725749611854553,26,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/SWELLDataset/finetuned_best_7.pt
0.7528,0.802,0.21281319856643677,15,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/SWELLDataset/finetuned_best_8.pt
0.7131,0.7196,0.1042286604642868,27,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/SWELLDataset/finetuned_best_9.pt
0.625,0.6789,0.1306740641593933,16,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/SWELLDataset/finetuned_best_10.pt
0.8057,0.806,0.3435409665107727,9,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/SWELLDataset/finetuned_best_0.pt
